Avaliacao,Sentimento
Melhores tater tots no sudoeste.,1
Nós amei o lugar.,1
Definitivamente não vale os US $ 3 que eu pago.,0
"O sorvete de baunilha era cremoso e suave, enquanto a massa de profiterole (choux) era fresca o suficiente.",1
Estou em AZ o tempo todo e agora tenho meu novo lugar.,1
O gerente foi o pior.,0
O interior é realmente muito agradável e muito limpo.,1
A comida foi excelente e os preços eram muito razoáveis.,1
Acho que não voltarei ao Carly's tão cedo para comer.,0
"Isso se deve ao fato de levarmos 20 minutos para serem reconhecidos, depois outros 35 minutos para conseguir nossa comida ... e eles continuavam esquecendo as coisas.",0
"Adorar o margaritas, também!",1
Este foi o meu primeiro e único buffet de Las Vegas e não decepcionou.,1
Muito bem!,1
A única nota baixa é que a ventilação pode usar alguma atualização.,0
Grande sanduíche de porco.,1
Não perca seu tempo aqui.,0
"Desapontamento total, eu prefiro ir à Camelback Flower Shop e ao Cartel Coffee.",0
"Terceiro, o queijo no hambúrguer do meu amigo estava frio.",0
Nós apreciamos sua pizza e brunch.,1
Os bifes são todos bem aparados e também perfeitamente preparados.,1
Tínhamos um grupo de mais de 70 anos quando alegamos que teríamos apenas 40 e eles nos trataram lindamente.,1
Eu amei!,1
Pedimos a conta para sair sem comer e eles não trouxeram isso também.,0
"Este lugar é uma jóia em Las Vegas, e exatamente o que eu espero encontrar em quase dez anos morando aqui.",1
"Frutos do mar eram limitados a camarão cozido e pernas de caranguejo, mas as pernas de caranguejo definitivamente não tinham um sabor fresco.",0
A seleção de alimentos não foi a melhor.,0
Delicioso e eu voltarei absolutamente!,1
"Este não é um pequeno restaurante familiar, é um estabelecimento requintado para refeições.",1
Eles tinham um toro tartare com uma cavadora extraordinária e eu gostei do wagyu em fatias finas com trufa branca.,1
Acho que não voltarei por muito tempo.,0
"Estava ligado a um posto de gasolina, e isso raramente é um bom sinal.",0
Quão incrível é isso.,1
Voltarei muitas vezes em breve.,1
O menu tinha tanta coisa boa que eu não pude decidir!,1
"Pior de tudo, ele humilhou seu trabalhador bem na minha frente ... Muitos nomes horríveis.",0
CONCLUSÃO: Refeições muito recheadas.,1
Suas especialidades diárias são sempre um sucesso com o meu grupo.,1
E então a tragédia aconteceu.,0
A panqueca também foi muito boa e bem grande.,1
"Esta foi a minha primeira experiência de lagostins, e foi delicioso!",1
O seu monstro frango frito bife e ovos é o meu favorito de todos os tempos.,1
